ms_of_day,price,date
34260000,4742.96,20240102
34320000,4743.24,20240102
34380000,4744.84,20240102
34440000,4744.11,20240102
34500000,4743.49,20240102
34560000,4743.26,20240102
34620000,4743.14,20240102
34680000,4741.71,20240102
34740000,4737.89,20240102
34800000,4736.56,20240102
34860000,4735.83,20240102
34920000,4735.13,20240102
34980000,4734.81,20240102
35040000,4734.87,20240102
35100000,4735.27,20240102
35160000,4734.96,20240102
35220000,4737.29,20240102
35280000,4735.14,20240102
35340000,4731.95,20240102
35400000,4731.0,20240102
35460000,4734.01,20240102
35520000,4735.87,20240102
35580000,4733.81,20240102
35640000,4732.23,20240102
35700000,4731.38,20240102
35760000,4732.53,20240102
35820000,4731.75,20240102
35880000,4734.45,20240102
35940000,4736.82,20240102
36000000,4739.8,20240102
36060000,4742.88,20240102
36120000,4742.73,20240102
36180000,4743.3,20240102
36240000,4743.73,20240102
36300000,4743.07,20240102
36360000,4741.59,20240102
36420000,4742.42,20240102
36480000,4740.95,20240102
36540000,4739.15,20240102
36600000,4740.93,20240102
36660000,4739.67,20240102
36720000,4739.59,20240102
36780000,4741.54,20240102
36840000,4741.95,20240102
36900000,4738.91,20240102
36960000,4738.26,20240102
37020000,4738.7,20240102
37080000,4739.87,20240102
37140000,4738.92,20240102
37200000,4738.62,20240102
37260000,4739.34,20240102
37320000,4740.29,20240102
37380000,4740.52,20240102
37440000,4741.81,20240102
37500000,4740.49,20240102
37560000,4739.3,20240102
37620000,4736.02,20240102
37680000,4736.41,20240102
37740000,4734.54,20240102
37800000,4736.1,20240102
37860000,4732.97,20240102
37920000,4732.47,20240102
37980000,4732.06,20240102
38040000,4732.65,20240102
38100000,4733.0,20240102
38160000,4732.93,20240102
38220000,4732.02,20240102
38280000,4731.81,20240102
38340000,4731.26,20240102
38400000,4733.08,20240102
38460000,4734.48,20240102
38520000,4733.31,20240102
38580000,4734.17,20240102
38640000,4735.62,20240102
38700000,4736.84,20240102
38760000,4737.55,20240102
38820000,4736.42,20240102
38880000,4735.88,20240102
38940000,4736.41,20240102
39000000,4734.43,20240102
39060000,4734.27,20240102
39120000,4736.07,20240102
39180000,4736.1,20240102
39240000,4734.65,20240102
39300000,4734.69,20240102
39360000,4734.57,20240102
39420000,4735.46,20240102
39480000,4733.31,20240102
39540000,4733.72,20240102
39600000,4734.72,20240102
39660000,4736.14,20240102
39720000,4735.69,20240102
39780000,4736.78,20240102
39840000,4736.61,20240102
39900000,4738.82,20240102
39960000,4737.61,20240102
40020000,4737.41,20240102
40080000,4736.75,20240102
40140000,4737.54,20240102
40200000,4739.49,20240102
40260000,4740.96,20240102
40320000,4741.66,20240102
40380000,4739.97,20240102
40440000,4738.03,20240102
40500000,4739.49,20240102
40560000,4740.95,20240102
40620000,4740.16,20240102
40680000,4739.97,20240102
40740000,4739.81,20240102
40800000,4740.19,20240102
40860000,4738.95,20240102
40920000,4739.33,20240102
40980000,4740.29,20240102
41040000,4739.16,20240102
41100000,4738.6,20240102
41160000,4738.65,20240102
41220000,4739.09,20240102
41280000,4739.29,20240102
41340000,4740.06,20240102
41400000,4741.12,20240102
41460000,4741.78,20240102
41520000,4741.94,20240102
41580000,4742.94,20240102
41640000,4743.71,20240102
41700000,4743.8,20240102
41760000,4742.86,20240102
41820000,4743.13,20240102
41880000,4744.15,20240102
41940000,4743.05,20240102
42000000,4742.27,20240102
42060000,4741.91,20240102
42120000,4742.45,20240102
42180000,4743.15,20240102
42240000,4743.6,20240102
42300000,4744.32,20240102
42360000,4746.12,20240102
42420000,4748.55,20240102
42480000,4748.31,20240102
42540000,4747.36,20240102
42600000,4748.73,20240102
42660000,4747.99,20240102
42720000,4748.92,20240102
42780000,4747.75,20240102
42840000,4748.47,20240102
42900000,4748.22,20240102
42960000,4748.69,20240102
43020000,4749.61,20240102
43080000,4749.32,20240102
43140000,4748.71,20240102
43200000,4749.47,20240102
43260000,4750.44,20240102
43320000,4750.84,20240102
43380000,4750.04,20240102
43440000,4750.16,20240102
43500000,4750.42,20240102
43560000,4750.43,20240102
43620000,4749.7,20240102
43680000,4750.24,20240102
43740000,4750.53,20240102
43800000,4749.69,20240102
43860000,4750.46,20240102
43920000,4750.88,20240102
43980000,4750.1,20240102
44040000,4750.04,20240102
44100000,4750.54,20240102
44160000,4749.3,20240102
44220000,4748.84,20240102
44280000,4746.81,20240102
44340000,4747.13,20240102
44400000,4747.85,20240102
44460000,4748.88,20240102
44520000,4749.99,20240102
44580000,4748.12,20240102
44640000,4747.76,20240102
44700000,4748.04,20240102
44760000,4748.26,20240102
44820000,4747.95,20240102
44880000,4748.32,20240102
44940000,4748.81,20240102
45000000,4747.55,20240102
45060000,4747.54,20240102
45120000,4748.51,20240102
45180000,4749.19,20240102
45240000,4749.33,20240102
45300000,4749.95,20240102
45360000,4750.59,20240102
45420000,4750.98,20240102
45480000,4751.59,20240102
45540000,4752.77,20240102
45600000,4752.72,20240102
45660000,4753.74,20240102
45720000,4753.62,20240102
45780000,4753.46,20240102
45840000,4753.0,20240102
45900000,4753.14,20240102
45960000,4751.43,20240102
46020000,4750.72,20240102
46080000,4749.93,20240102
46140000,4747.96,20240102
46200000,4748.29,20240102
46260000,4747.4,20240102
46320000,4746.49,20240102
46380000,4746.28,20240102
46440000,4746.49,20240102
46500000,4746.51,20240102
46560000,4744.56,20240102
46620000,4745.31,20240102
46680000,4744.86,20240102
46740000,4743.91,20240102
46800000,4744.38,20240102
46860000,4743.53,20240102
46920000,4743.83,20240102
46980000,4742.73,20240102
47040000,4742.93,20240102
47100000,4742.93,20240102
47160000,4743.3,20240102
47220000,4742.53,20240102
47280000,4742.7,20240102
47340000,4742.08,20240102
47400000,4741.63,20240102
47460000,4742.31,20240102
47520000,4742.92,20240102
47580000,4742.99,20240102
47640000,4743.84,20240102
47700000,4743.92,20240102
47760000,4744.12,20240102
47820000,4743.15,20240102
47880000,4744.21,20240102
47940000,4745.29,20240102
48000000,4744.79,20240102
48060000,4744.68,20240102
48120000,4744.56,20240102
48180000,4743.58,20240102
48240000,4743.85,20240102
48300000,4745.71,20240102
48360000,4745.41,20240102
48420000,4746.82,20240102
48480000,4745.62,20240102
48540000,4745.83,20240102
48600000,4744.81,20240102
48660000,4744.74,20240102
48720000,4743.92,20240102
48780000,4743.4,20240102
48840000,4744.64,20240102
48900000,4745.91,20240102
48960000,4746.74,20240102
49020000,4746.09,20240102
49080000,4745.89,20240102
49140000,4746.21,20240102
49200000,4746.47,20240102
49260000,4746.91,20240102
49320000,4746.92,20240102
49380000,4744.94,20240102
49440000,4746.6,20240102
49500000,4745.38,20240102
49560000,4745.2,20240102
49620000,4746.69,20240102
49680000,4746.33,20240102
49740000,4745.4,20240102
49800000,4744.73,20240102
49860000,4744.11,20240102
49920000,4744.07,20240102
49980000,4742.63,20240102
50040000,4741.95,20240102
50100000,4741.65,20240102
50160000,4741.58,20240102
50220000,4739.66,20240102
50280000,4739.46,20240102
50340000,4738.4,20240102
50400000,4739.34,20240102
50460000,4739.56,20240102
50520000,4738.52,20240102
50580000,4737.11,20240102
50640000,4737.8,20240102
50700000,4736.67,20240102
50760000,4736.58,20240102
50820000,4735.1,20240102
50880000,4733.74,20240102
50940000,4734.23,20240102
51000000,4735.33,20240102
51060000,4735.78,20240102
51120000,4736.68,20240102
51180000,4737.43,20240102
51240000,4738.02,20240102
51300000,4737.04,20240102
51360000,4736.01,20240102
51420000,4736.03,20240102
51480000,4735.3,20240102
51540000,4735.61,20240102
51600000,4735.57,20240102
51660000,4735.7,20240102
51720000,4735.95,20240102
51780000,4734.99,20240102
51840000,4734.56,20240102
51900000,4734.39,20240102
51960000,4734.49,20240102
52020000,4734.67,20240102
52080000,4734.51,20240102
52140000,4735.82,20240102
52200000,4736.97,20240102
52260000,4737.59,20240102
52320000,4736.74,20240102
52380000,4735.11,20240102
52440000,4735.03,20240102
52500000,4735.11,20240102
52560000,4735.1,20240102
52620000,4734.14,20240102
52680000,4734.5,20240102
52740000,4733.89,20240102
52800000,4733.22,20240102
52860000,4733.4,20240102
52920000,4733.2,20240102
52980000,4732.85,20240102
53040000,4733.65,20240102
53100000,4733.28,20240102
53160000,4733.44,20240102
53220000,4734.18,20240102
53280000,4733.63,20240102
53340000,4732.69,20240102
53400000,4731.59,20240102
53460000,4731.8,20240102
53520000,4732.45,20240102
53580000,4731.14,20240102
53640000,4728.91,20240102
53700000,4729.31,20240102
53760000,4728.52,20240102
53820000,4729.23,20240102
53880000,4728.54,20240102
53940000,4728.45,20240102
54000000,4727.24,20240102
54060000,4726.99,20240102
54120000,4726.26,20240102
54180000,4725.74,20240102
54240000,4725.14,20240102
54300000,4723.97,20240102
54360000,4723.3,20240102
54420000,4722.74,20240102
54480000,4724.51,20240102
54540000,4725.24,20240102
54600000,4724.58,20240102
54660000,4724.82,20240102
54720000,4724.85,20240102
54780000,4724.13,20240102
54840000,4724.26,20240102
54900000,4724.1,20240102
54960000,4723.29,20240102
55020000,4724.49,20240102
55080000,4727.72,20240102
55140000,4727.34,20240102
55200000,4727.42,20240102
55260000,4727.63,20240102
55320000,4727.58,20240102
55380000,4724.74,20240102
55440000,4726.46,20240102
55500000,4726.65,20240102
55560000,4726.52,20240102
55620000,4725.96,20240102
55680000,4725.88,20240102
55740000,4726.95,20240102
55800000,4726.75,20240102
55860000,4727.93,20240102
55920000,4729.21,20240102
55980000,4728.97,20240102
56040000,4728.86,20240102
56100000,4727.02,20240102
56160000,4726.66,20240102
56220000,4726.14,20240102
56280000,4726.53,20240102
56340000,4725.54,20240102
56400000,4725.28,20240102
56460000,4725.65,20240102
56520000,4725.8,20240102
56580000,4725.87,20240102
56640000,4726.18,20240102
56700000,4727.66,20240102
56760000,4727.86,20240102
56820000,4727.55,20240102
56880000,4728.47,20240102
56940000,4729.03,20240102
57000000,4729.9,20240102
57060000,4735.67,20240102
57120000,4736.9,20240102
57180000,4736.65,20240102
57240000,4737.69,20240102
57300000,4736.96,20240102
57360000,4737.63,20240102
57420000,4740.0,20240102
57480000,4741.95,20240102
57540000,4743.73,20240102
57600000,4743.14,20240102
34200000,0.0,20240103
34260000,4721.85,20240103
34320000,4721.39,20240103
34380000,4718.93,20240103
34440000,4718.83,20240103
34500000,4718.79,20240103
34560000,4720.31,20240103
34620000,4718.49,20240103
34680000,4718.83,20240103
34740000,4719.54,20240103
34800000,4719.0,20240103
34860000,4719.15,20240103
34920000,4721.5,20240103
34980000,4720.65,20240103
35040000,4719.81,20240103
35100000,4719.48,20240103
35160000,4718.26,20240103
35220000,4718.94,20240103
35280000,4717.94,20240103
35340000,4718.99,20240103
35400000,4719.4,20240103
35460000,4719.37,20240103
35520000,4721.72,20240103
35580000,4720.74,20240103
35640000,4719.21,20240103
35700000,4718.64,20240103
35760000,4718.03,20240103
35820000,4716.59,20240103
35880000,4715.27,20240103
35940000,4715.39,20240103
36000000,4716.2,20240103
36060000,4720.57,20240103
36120000,4716.42,20240103
36180000,4721.94,20240103
36240000,4722.98,20240103
36300000,4723.35,20240103
36360000,4725.67,20240103
36420000,4724.07,20240103
36480000,4721.32,20240103
36540000,4720.46,20240103
36600000,4718.51,20240103
36660000,4716.78,20240103
36720000,4714.58,20240103
36780000,4712.91,20240103
36840000,4712.96,20240103
36900000,4711.53,20240103
36960000,4710.77,20240103
37020000,4711.48,20240103
37080000,4710.92,20240103
37140000,4711.56,20240103
37200000,4711.43,20240103
37260000,4710.52,20240103
37320000,4710.07,20240103
37380000,4710.18,20240103
37440000,4710.45,20240103
37500000,4711.82,20240103
37560000,4711.85,20240103
37620000,4713.64,20240103
37680000,4714.82,20240103
37740000,4714.18,20240103
37800000,4712.87,20240103
37860000,4713.15,20240103
37920000,4713.63,20240103
37980000,4710.74,20240103
38040000,4710.9,20240103
38100000,4711.42,20240103
38160000,4712.32,20240103
38220000,4710.8,20240103
38280000,4707.94,20240103
38340000,4707.2,20240103
38400000,4706.21,20240103
38460000,4706.35,20240103
38520000,4706.19,20240103
38580000,4706.48,20240103
38640000,4707.47,20240103
38700000,4706.76,20240103
38760000,4705.35,20240103
38820000,4705.5,20240103
38880000,4706.29,20240103
38940000,4705.9,20240103
39000000,4705.57,20240103
39060000,4706.6,20240103
39120000,4708.3,20240103
39180000,4708.12,20240103
39240000,4707.93,20240103
39300000,4706.76,20240103
39360000,4706.3,20240103
39420000,4707.98,20240103
39480000,4708.86,20240103
39540000,4710.69,20240103
39600000,4711.42,20240103
39660000,4715.47,20240103
39720000,4714.36,20240103
39780000,4715.48,20240103
39840000,4714.47,20240103
39900000,4714.02,20240103
39960000,4713.9,20240103
40020000,4714.12,20240103
40080000,4712.99,20240103
40140000,4714.33,20240103
40200000,4714.19,20240103
40260000,4713.19,20240103
40320000,4713.46,20240103
40380000,4713.73,20240103
40440000,4714.78,20240103
40500000,4714.06,20240103
40560000,4715.67,20240103
40620000,4714.27,20240103
40680000,4712.7,20240103
40740000,4712.13,20240103
40800000,4712.64,20240103
40860000,4714.17,20240103
40920000,4713.77,20240103
40980000,4712.47,20240103
41040000,4713.19,20240103
41100000,4713.15,20240103
41160000,4713.61,20240103
41220000,4716.52,20240103
41280000,4714.07,20240103
41340000,4713.77,20240103
41400000,4714.79,20240103
41460000,4714.7,20240103
41520000,4714.49,20240103
41580000,4714.01,20240103
41640000,4715.08,20240103
41700000,4713.57,20240103
41760000,4714.41,20240103
41820000,4713.87,20240103
41880000,4712.82,20240103
41940000,4713.09,20240103
42000000,4711.71,20240103
42060000,4709.69,20240103
42120000,4710.31,20240103
42180000,4711.36,20240103
42240000,4711.91,20240103
42300000,4713.27,20240103
42360000,4713.04,20240103
42420000,4712.42,20240103
42480000,4712.24,20240103
42540000,4711.98,20240103
42600000,4712.98,20240103
42660000,4713.31,20240103
42720000,4712.99,20240103
42780000,4712.71,20240103
42840000,4712.71,20240103
42900000,4712.73,20240103
42960000,4712.46,20240103
43020000,4712.05,20240103
43080000,4710.87,20240103
43140000,4710.6,20240103
43200000,4710.61,20240103
43260000,4709.85,20240103
43320000,4710.14,20240103
43380000,4711.15,20240103
43440000,4711.03,20240103
43500000,4712.01,20240103
43560000,4712.87,20240103
43620000,4712.03,20240103
43680000,4713.26,20240103
43740000,4711.1,20240103
43800000,4710.13,20240103
43860000,4709.43,20240103
43920000,4709.52,20240103
43980000,4708.8,20240103
44040000,4709.46,20240103
44100000,4708.93,20240103
44160000,4708.97,20240103
44220000,4709.5,20240103
44280000,4709.36,20240103
44340000,4708.16,20240103
44400000,4707.64,20240103
44460000,4707.91,20240103
44520000,4707.56,20240103
44580000,4707.93,20240103
44640000,4709.03,20240103
44700000,4709.57,20240103
44760000,4710.62,20240103
44820000,4710.15,20240103
44880000,4711.64,20240103
44940000,4712.25,20240103
45000000,4713.26,20240103
45060000,4713.8,20240103
45120000,4712.32,20240103
45180000,4712.61,20240103
45240000,4713.75,20240103
45300000,4714.17,20240103
45360000,4714.91,20240103
45420000,4714.81,20240103
45480000,4715.21,20240103
45540000,4715.08,20240103
45600000,4715.31,20240103
45660000,4716.62,20240103
45720000,4717.14,20240103
45780000,4717.13,20240103
45840000,4716.84,20240103
45900000,4716.02,20240103
45960000,4716.65,20240103
46020000,4716.46,20240103
46080000,4716.7,20240103
46140000,4715.41,20240103
46200000,4716.77,20240103
46260000,4716.52,20240103
46320000,4715.95,20240103
46380000,4716.21,20240103
46440000,4716.16,20240103
46500000,4716.38,20240103
46560000,4717.86,20240103
46620000,4717.82,20240103
46680000,4719.22,20240103
46740000,4720.41,20240103
46800000,4720.98,20240103
46860000,4721.8,20240103
46920000,4724.18,20240103
46980000,4723.23,20240103
47040000,4721.37,20240103
47100000,4722.25,20240103
47160000,4721.6,20240103
47220000,4721.57,20240103
47280000,4721.87,20240103
47340000,4721.86,20240103
47400000,4721.53,20240103
47460000,4722.01,20240103
47520000,4723.27,20240103
47580000,4721.73,20240103
47640000,4722.7,20240103
47700000,4722.07,20240103
47760000,4722.42,20240103
47820000,4721.8,20240103
47880000,4722.86,20240103
47940000,4722.43,20240103
48000000,4722.13,20240103
48060000,4720.97,20240103
48120000,4721.12,20240103
48180000,4721.21,20240103
48240000,4721.4,20240103
48300000,4721.55,20240103
48360000,4721.6,20240103
48420000,4720.97,20240103
48480000,4721.28,20240103
48540000,4720.93,20240103
48600000,4721.2,20240103
48660000,4721.11,20240103
48720000,4719.73,20240103
48780000,4719.96,20240103
48840000,4719.59,20240103
48900000,4718.49,20240103
48960000,4716.58,20240103
49020000,4717.36,20240103
49080000,4718.57,20240103
49140000,4719.84,20240103
49200000,4719.92,20240103
49260000,4720.0,20240103
49320000,4720.24,20240103
49380000,4720.43,20240103
49440000,4718.83,20240103
49500000,4718.3,20240103
49560000,4718.53,20240103
49620000,4718.9,20240103
49680000,4718.16,20240103
49740000,4718.87,20240103
49800000,4719.17,20240103
49860000,4720.15,20240103
49920000,4720.85,20240103
49980000,4718.74,20240103
50040000,4719.21,20240103
50100000,4718.28,20240103
50160000,4719.11,20240103
50220000,4718.54,20240103
50280000,4717.9,20240103
50340000,4718.25,20240103
50400000,4718.46,20240103
50460000,4717.38,20240103
50520000,4717.93,20240103
50580000,4714.99,20240103
50640000,4715.53,20240103
50700000,4712.95,20240103
50760000,4708.74,20240103
50820000,4713.2,20240103
50880000,4716.75,20240103
50940000,4715.54,20240103
51000000,4716.26,20240103
51060000,4718.72,20240103
51120000,4718.75,20240103
51180000,4716.07,20240103
51240000,4713.46,20240103
51300000,4713.22,20240103
51360000,4711.43,20240103
51420000,4714.65,20240103
51480000,4713.36,20240103
51540000,4715.66,20240103
51600000,4715.65,20240103
51660000,4713.98,20240103
51720000,4713.97,20240103
51780000,4715.54,20240103
51840000,4714.61,20240103
51900000,4717.04,20240103
51960000,4720.77,20240103
52020000,4724.7,20240103
52080000,4726.65,20240103
52140000,4727.86,20240103
52200000,4727.41,20240103
52260000,4728.89,20240103
52320000,4727.83,20240103
52380000,4723.11,20240103
52440000,4723.07,20240103
52500000,4725.2,20240103
52560000,4723.8,20240103
52620000,4722.45,20240103
52680000,4724.18,20240103
52740000,4724.82,20240103
52800000,4724.14,20240103
52860000,4722.97,20240103
52920000,4723.96,20240103
52980000,4726.06,20240103
53040000,4727.99,20240103
53100000,4727.79,20240103
53160000,4726.0,20240103
53220000,4724.24,20240103
53280000,4725.54,20240103
53340000,4725.88,20240103
53400000,4723.38,20240103
53460000,4722.06,20240103
53520000,4723.31,20240103
53580000,4721.83,20240103
53640000,4722.45,20240103
53700000,4721.96,20240103
53760000,4721.06,20240103
53820000,4722.03,20240103
53880000,4721.6,20240103
53940000,4720.97,20240103
54000000,4719.96,20240103
54060000,4719.64,20240103
54120000,4715.42,20240103
54180000,4717.71,20240103
54240000,4715.61,20240103
54300000,4715.11,20240103
54360000,4715.21,20240103
54420000,4714.36,20240103
54480000,4712.88,20240103
54540000,4711.34,20240103
54600000,4713.23,20240103
54660000,4714.09,20240103
54720000,4713.3,20240103
54780000,4712.3,20240103
54840000,4711.89,20240103
54900000,4712.84,20240103
54960000,4710.98,20240103
55020000,4711.45,20240103
55080000,4710.24,20240103
55140000,4711.56,20240103
55200000,4711.15,20240103
55260000,4710.71,20240103
55320000,4711.07,20240103
55380000,4712.63,20240103
55440000,4712.66,20240103
55500000,4709.3,20240103
55560000,4708.91,20240103
55620000,4709.56,20240103
55680000,4708.65,20240103
55740000,4708.21,20240103
55800000,4710.54,20240103
55860000,4711.16,20240103
55920000,4712.54,20240103
55980000,4714.09,20240103
56040000,4714.15,20240103
56100000,4714.9,20240103
56160000,4714.29,20240103
56220000,4713.74,20240103
56280000,4711.72,20240103
56340000,4712.26,20240103
56400000,4713.07,20240103
56460000,4713.85,20240103
56520000,4711.93,20240103
56580000,4710.97,20240103
56640000,4710.75,20240103
56700000,4708.06,20240103
